"","y_cm","Es_keV","contents","PrReach","uPrReach","PrDet","uPrDet"
"85",0,661.6,"m",0.00736663375,3.02793688801164e-06,0.0050965226,2.56231074851285e-06
"86",-250,661.6,"m",0.00075895625,9.75879474436393e-07,0.0004977144,8.04342992921057e-07
"87",-500,661.6,"m",3.999e-05,4.49898502032403e-07,2.556e-05,3.63967558556735e-07
"88",-750,661.6,"m",1.4995e-05,2.75605397142817e-07,9.64000000000001e-06,2.22710785488153e-07
"89",-1000,661.6,"m",6.9400011e-06,1.08133344021851e-07,4.4950003e-06,8.7705205208601e-08
"90",-1250,661.6,"m",4.049999595e-06,8.25304799996094e-08,2.53000032e-06,6.5994510946477e-08
"91",-1500,661.6,"m",2.364e-06,2.18994410961285e-08,1.5076e-06,1.76298696997454e-08
"92",0,700,"m",0.0079003415,3.1409648783691e-06,0.00548104125,2.66031935751649e-06
"93",-250,700,"m",0.00084062375,1.02766991672694e-06,0.0005526375,8.47759445093543e-07
"94",-500,700,"m",4.3935e-05,4.71718911126107e-07,2.8145e-05,3.82267504745695e-07
"95",-750,700,"m",1.6255e-05,2.87006233394852e-07,1.0375e-05,2.30611995733635e-07
"96",-1000,700,"m",7.93999982e-06,1.15807378339104e-07,5.08666692e-06,9.34471956236038e-08
"97",-1250,700,"m",4.518334965e-06,8.71670247773926e-08,2.85833234e-06,6.98215535450949e-08
"98",-1500,700,"m",2.5746e-06,2.28640951047795e-08,1.6398e-06,1.84099392665918e-08
"99",0,750,"m",0.0085569495,3.270334750151e-06,0.0059607595,2.77756244421781e-06
"100",-250,750,"m",0.00094404,1.08905891474573e-06,0.00062312625,9.00457183175337e-07
"101",-500,750,"m",4.9825e-05,5.01998851674483e-07,3.1985e-05,4.08667108611031e-07
"102",-750,750,"m",1.788e-05,3.00810124601467e-07,1.144e-05,2.41866921413409e-07
"103",-1000,750,"m",8.843333645e-06,1.22110180900986e-07,5.670000645e-06,9.85747267651237e-08
"104",-1250,750,"m",4.68833263e-06,8.87415812283711e-08,3.0116662e-06,7.19379192379742e-08
"105",-1500,750,"m",2.858e-06,2.41061258494931e-08,1.811e-06,1.9364432433459e-08
"106",0,800,"m",0.0091810275,3.3796626633306e-06,0.0064200765,2.8835180458036e-06
"107",-250,800,"m",0.00104705625,1.14689878821956e-06,0.0006947619,9.51217152170012e-07
"108",-500,800,"m",5.636e-05,5.34324745972662e-07,3.62e-05,4.34157062205315e-07
"109",-750,800,"m",1.9755e-05,3.15875849264391e-07,1.258e-05,2.53485285910741e-07
"110",-1000,800,"m",9.47333277e-06,1.26619096714555e-07,6.14499946e-06,1.03025414197262e-07
"111",-1250,800,"m",5.036667355e-06,9.20127516106561e-08,3.20000008e-06,7.39741627641795e-08
"112",-1500,800,"m",3.0472e-06,2.48487711610615e-08,1.9382e-06,2.00343110384161e-08
"113",0,850,"m",0.0097839515,3.5143767005715e-06,0.00686592,2.98128943232175e-06
"114",-250,850,"m",0.00115271875,1.20266479376531e-06,0.00076720815,9.99969176230838e-07
"115",-500,850,"m",6.226e-05,5.61476091897954e-07,4.008e-05,4.56079601967683e-07
"116",-750,850,"m",2.164e-05,3.30995404037579e-07,1.3805e-05,2.6555857245766e-07
"117",-1000,850,"m",1.029833266e-05,1.31556883194111e-07,6.616667195e-06,1.06802188634121e-07
"118",-1250,850,"m",5.383333105e-06,9.52770560792291e-08,3.4449989e-06,7.71207458759425e-08
"119",-1500,850,"m",3.3128e-06,2.59104785599572e-08,2.1072e-06,2.08448840164104e-08
"120",0,900,"m",0.01036303075,3.60189041204152e-06,0.007297807,3.06603073012367e-06
"121",-250,900,"m",0.0012571375,1.25607484301024e-06,0.00083960755,1.04657864386726e-06
"122",-500,900,"m",6.9385e-05,5.91924473354921e-07,4.488e-05,4.83688518518375e-07
"123",-750,900,"m",2.376e-05,3.46831444976879e-07,1.5105e-05,2.78540291808474e-07
"124",-1000,900,"m",1.097666712e-05,1.35873828693056e-07,7.00333517e-06,1.09446508765872e-07
"125",-1250,900,"m",5.90333241e-06,9.98880764536533e-08,3.771667155e-06,8.04653671491277e-08
"126",-1500,900,"m",3.5596e-06,2.68494584997165e-08,2.2716e-06,2.16667618349489e-08
"127",0,950,"m",0.01091351825,3.67668504606781e-06,0.007710705,3.17246779486553e-06
"128",-250,950,"m",0.00136055625,1.3065909695453e-06,0.00091204815,1.09028452570272e-06
"129",-500,950,"m",7.457e-05,6.13674718221103e-07,4.8485e-05,5.04131442264317e-07
"130",-750,950,"m",2.5695e-05,3.60124702163362e-07,1.6495e-05,2.91933719342679e-07
"131",-1000,950,"m",1.182833301e-05,1.41241755155001e-07,7.531666785e-06,1.13913028070444e-07
"132",-1250,950,"m",6.466666515e-06,1.04536645873702e-07,4.154999675e-06,8.47044021276111e-08
"133",-1500,950,"m",3.8578e-06,2.7931133975691e-08,2.4692e-06,2.26388697458332e-08
"134",0,1000,"m",0.011441027,3.78781030817667e-06,0.0081079805,3.24377730463682e-06
"135",-250,1000,"m",0.0014640625,1.35625980190768e-06,0.00098462125,1.13346085643952e-06
"136",-500,1000,"m",8.2615e-05,6.46097143233508e-07,5.3685e-05,5.2984223969192e-07
"137",-750,1000,"m",2.7735e-05,3.74172044242351e-07,1.7785e-05,3.03610388459453e-07
"138",-1000,1000,"m",1.253000091e-05,1.45309459280697e-07,7.99666713e-06,1.17664278580733e-07
"139",-1250,1000,"m",6.988333525e-06,1.08742604593519e-07,4.45499918e-06,8.75127533657751e-08
"140",-1500,1000,"m",4.10350055e-06,2.63375831034777e-08,2.6154996815e-06,2.12884154887921e-08
"141",0,1022,"m",0.01166834675,3.82367464685348e-06,0.0082814955,3.28693320628978e-06
"142",-250,1022,"m",0.00150954,1.37653037985681e-06,0.00101642065,1.15190594794002e-06
"143",-500,1022,"m",8.453e-05,6.53302061581203e-07,5.4995e-05,5.36295585587836e-07
"144",-750,1022,"m",2.8615e-05,3.80431604323957e-07,1.82e-05,3.07164850205065e-07
"145",-1000,1022,"m",1.294333198e-05,1.47848786590978e-07,8.23999959e-06,1.19093186101368e-07
"146",-1250,1022,"m",7.013334425e-06,1.08932029976215e-07,4.53000043e-06,8.83187876269775e-08
"147",-1500,1022,"m",4.188500043e-06,2.65970135791502e-08,2.6740001875e-06,2.15373350661349e-08
"148",0,1050,"m",0.01194731325,3.88256914115871e-06,0.0084965725,3.34033385615862e-06
"149",-250,1050,"m",0.0015684015,1.40145500217969e-06,0.00105818065,1.17622939458642e-06
"150",-500,1050,"m",8.7795e-05,6.66373384234394e-07,5.69275e-05,5.45545192568235e-07
"151",-750,1050,"m",2.907e-05,3.83136503623056e-07,1.8625e-05,3.1132150303344e-07
"152",-1000,1050,"m",1.3438334875e-05,1.50704765706956e-07,8.53666681499999e-06,1.21091712420222e-07
"153",-1250,1050,"m",7.22666705e-06,1.10604702105031e-07,4.69666687e-06,8.98460382495532e-08
"154",-1500,1050,"m",4.288165444e-06,2.6917785502795e-08,2.74033398e-06,2.18083674519406e-08
"155",0,1100,"m",0.0124421705,3.94564410981562e-06,0.0088742255,3.3992034420304e-06
"156",-250,1100,"m",0.0016692075,1.4462685688644e-06,0.0011300622,1.21605923483111e-06
"157",-500,1100,"m",9.5605e-05,6.95493737046208e-07,6.2095e-05,5.69398471972835e-07
"158",-750,1100,"m",3.116e-05,3.96334904064731e-07,2.01e-05,3.23498802480009e-07
"159",-1000,1100,"m",1.4144999085e-05,1.54562653017349e-07,9.05416529e-06,1.246259821862e-07
"160",-1250,1100,"m",7.483332585e-06,1.12397949110547e-07,4.85833259e-06,9.11526328778483e-08
"161",-1500,1100,"m",4.5138329145e-06,2.75911376793563e-08,2.881666654e-06,2.23208236353309e-08
"162",0,1150,"m",0.0129063475,4.02036404977246e-06,0.0092316905,3.48488192721348e-06
"163",-250,1150,"m",0.00176891625,1.49115556590139e-06,0.0012016359,1.25480344364212e-06
"164",-500,1150,"m",0.000101415,7.15823247939566e-07,6.61e-05,5.87609757265185e-07
"165",-750,1150,"m",3.2825e-05,4.07193897919038e-07,2.099e-05,3.29448522011786e-07
"166",-1000,1150,"m",1.4919998555e-05,1.58690030434238e-07,9.53083361000001e-06,1.27797078517979e-07
"167",-1250,1150,"m",7.636665845e-06,1.13579021727266e-07,4.968333565e-06,9.23581701744133e-08
"168",-1500,1150,"m",4.77016639e-06,2.83473010456423e-08,3.060500548e-06,2.3035414378221e-08
"169",0,1173,"m",0.0131142495,4.06196392503906e-06,0.00939314525,3.5250628985998e-06
"170",-250,1173,"m",0.001813803,1.50733561349316e-06,0.00123420735,1.2720753362217e-06
"171",-500,1173,"m",0.00010342,7.23026787869578e-07,6.7805e-05,5.95010402098043e-07
